account_id,customer_id,account_type,account_status,opened_date
ACC000001,CUST000621,Current,Active,2020-10-07
ACC000002,CUST000374,Current,Active,2022-11-01
ACC000003,CUST000746,Current,Active,2023-06-10
ACC000004,CUST000357,Savings,Active,2021-04-07
ACC000005,CUST000447,Current,Active,2024-05-05
ACC000006,CUST000704,Savings,Active,2022-02-06
ACC000007,CUST000785,Current,Active,2024-03-12
ACC000008,CUST000905,Current,Active,2023-06-18
ACC000009,CUST000622,Current,Active,2022-07-20
ACC000010,CUST000840,Current,Active,2026-02-16
ACC000011,CUST000420,Current,Active,2020-07-23
ACC000012,CUST000118,Current,Active,2024-06-03
ACC000013,CUST000221,Current,Active,2022-12-25
ACC000014,CUST000705,Current,Active,2021-04-15
ACC000015,CUST000921,Current,Active,2023-04-30
ACC000016,CUST000223,Current,Active,2019-09-09
ACC000017,CUST000915,Current,Active,2021-08-17
ACC000018,CUST000203,Current,Active,2020-11-30
ACC000019,CUST000123,Current,Active,2022-11-04
ACC000020,CUST000591,Current,Active,2020-01-19
ACC000021,CUST000292,Current,Dormant,2026-02-03
ACC000022,CUST000041,Current,Active,2021-03-28
ACC000023,CUST000426,Savings,Active,2022-08-18
ACC000024,CUST000794,Current,Active,2022-02-04
ACC000025,CUST000506,Savings,Dormant,2025-02-22
ACC000026,CUST000030,Current,Active,2024-12-13
ACC000027,CUST000705,Savings,Active,2025-07-09
ACC000028,CUST000832,Current,Active,2026-06-13
ACC000029,CUST000266,Savings,Active,2025-12-20
ACC000030,CUST000338,Current,Active,2022-04-02
ACC000031,CUST000948,Current,Active,2025-02-02
ACC000032,CUST000772,Current,Active,2021-11-14
ACC000033,CUST000126,Current,Active,2021-02-22
ACC000034,CUST000330,Savings,Active,2025-06-23
ACC000035,CUST000729,Current,Active,2023-10-15
ACC000036,CUST000877,Current,Active,2020-12-17
ACC000037,CUST000687,Current,Active,2024-05-26
ACC000038,CUST000214,Savings,Active,2020-09-28
ACC000039,CUST000726,Current,Active,2020-11-06
ACC000040,CUST000225,Business,Active,2021-06-07
ACC000041,CUST000799,Current,Active,2021-10-06
ACC000042,CUST000975,Savings,Active,2024-11-08
ACC000043,CUST000763,Current,Active,2021-05-04
ACC000044,CUST000488,Current,Active,2023-07-13
ACC000045,CUST000087,Current,Active,2022-01-21
ACC000046,CUST000342,Current,Active,2025-05-30
ACC000047,CUST000750,Business,Active,2024-05-20
ACC000048,CUST000283,Current,Active,2021-08-24
ACC000049,CUST000662,Current,Active,2025-03-20
ACC000050,CUST000590,Current,Active,2025-05-17
ACC000051,CUST000636,Current,Active,2022-02-06
ACC000052,CUST000844,Savings,Active,2024-03-14
ACC000053,CUST000356,Current,Active,2023-04-11
ACC000054,CUST000190,Current,Active,2021-02-27
ACC000055,CUST000929,Current,Active,2025-09-23
ACC000056,CUST000922,Current,Dormant,2021-03-09
ACC000057,CUST000182,Business,Active,2024-08-03
ACC000058,CUST000010,Current,Dormant,2019-12-20
ACC000059,CUST000254,Current,Active,2026-04-24
ACC000060,CUST000856,Current,Active,2024-11-11
ACC000061,CUST000824,Savings,Active,2022-07-29
ACC000062,CUST000499,Current,Active,2022-07-21
ACC000063,CUST000913,Current,Active,2019-10-29
ACC000064,CUST000703,Current,Active,2024-11-06
ACC000065,CUST000676,Business,Active,2026-02-28
ACC000066,CUST000713,Business,Active,2025-07-04
ACC000067,CUST000655,Current,Active,2020-05-25
ACC000068,CUST000180,Current,Active,2022-10-17
ACC000069,CUST000968,Business,Active,2026-01-17
ACC000070,CUST000352,Savings,Active,2021-05-28
ACC000071,CUST000356,Current,Dormant,2020-11-28
ACC000072,CUST000698,Current,Dormant,2020-03-30
ACC000073,CUST000499,Current,Active,2026-05-02
